result_id,fighter_name,fight_id,elo_before,elo_after
1122,Link,494,1530.38,1544.51
1123,Ness,495,1466.59,1474.91
1124,Jigglypuff,495,1384.12,1375.8
1125,Luigi,496,1573.45,1577.8
1126,Ice Climbers,496,1377.1,1372.75
1127,Lucas,497,1448.72,1439.51
1128,Mr Game & Watch,497,1510.39,1519.6
1129,Pit,498,1503.01,1492.09
1130,Toon Link,498,1526.5,1537.42
1131,Meta Knight,499,1599.11,1609.08
1132,Samus,499,1554.69,1544.72
1133,Snake,500,1494.57,1482.5
1134,Fox,500,1493.07,1505.14
1135,Ganondorf,501,1409.0,1421.6
1136,Zelda,501,1421.98,1409.38
1137,Ike,502,1475.93,1488.93
1138,Captain Falcon,502,1497.59,1484.59
1139,Rob,503,1500.0,1489.63
1140,Olimar,503,1535.52,1545.89
1141,Mario,504,1554.14,1559.82
1142,Diddy Kong,504,1572.43,1578.11
1143,Link,504,1544.51,1538.83
1144,Wario,504,1553.83,1548.15
1145,Pit,505,1492.09,1483.4
1146,Wolf,505,1565.95,1574.64
1147,Kirby,506,1626.04,1630.67
1148,Lucas,506,1439.51,1434.88
1149,Sonic,507,1455.56,1471.36
1150,Marth,507,1541.06,1525.26
1151,Bowser,508,1554.36,1559.22
1152,Jigglypuff,508,1375.8,1370.94
1153,Link,509,1538.83,1531.91
1154,Wario,509,1548.15,1541.23
1155,Pikachu,509,1503.15,1510.07
1156,Yoshi,509,1503.09,1510.01
1157,Olimar,510,1545.89,1559.35
1158,Luigi,510,1577.8,1564.34
1159,Ness,511,1474.91,1486.75
1160,Sonic,511,1471.36,1459.52
1161,Yoshi,512,1510.01,1503.45
1162,Pikachu,512,1510.07,1503.51
1163,Fox,512,1505.14,1511.7
1164,Falco,512,1465.72,1472.28
1165,Toon Link,513,1537.42,1524.6
1166,Mr Game & Watch,513,1519.6,1532.42
1167,Rob,514,1489.63,1501.6
1168,Ike,514,1488.93,1476.96
1169,Mario,515,1559.82,1548.66
1170,Diddy Kong,515,1578.11,1589.27
1171,Meta Knight,516,1609.08,1600.71
1172,Wolf,516,1574.64,1566.97
1173,Dk,516,1500.0,1516.05
1174,Snake,517,1482.5,1478.51
1175,Pit,517,1483.4,1495.38
1176,Samus,517,1544.72,1539.8
1177,Ganondorf,517,1421.6,1418.53
1178,Fox,518,1511.7,1518.16
1179,Pokemon Trainer,518,1381.63,1375.17
1180,Peach,519,1371.56,1364.17
1181,Ike,519,1476.96,1484.35
1182,Lucario,520,1413.71,1404.9
1183,Captain Falcon,520,1484.59,1493.4
1184,Zelda,521,1409.38,1402.64
1185,Link,521,1531.91,1538.65
1186,Mario,522,1548.66,1543.02
1187,Snake,522,1478.51,1474.42
1188,Luigi,522,1564.34,1574.07
1189,Lucas,523,1434.88,1426.86
1190,Toon Link,523,1524.6,1532.62
1191,Sonic,524,1459.52,1450.48
1192,Marth,524,1525.26,1534.3
1193,Jigglypuff,525,1370.94,1363.39
1194,Falco,525,1472.28,1479.83
1195,Meta Knight,526,1600.71,1608.43
1196,Yoshi,526,1503.45,1495.73
1197,Pikachu,527,1503.51,1517.17
1198,Samus,527,1539.8,1526.14
1199,Fox,528,1518.16,1529.02
1200,Captain Falcon,528,1493.4,1482.54
1201,Ike,529,1484.35,1493.38
1202,Ganondorf,529,1418.53,1409.5
1203,Wario,530,1541.23,1547.47
1204,Lucario,530,1404.9,1398.66
1205,Luigi,531,1574.07,1557.69
1206,Snake,531,1474.42,1490.8
1207,Diddy Kong,532,1589.27,1599.16
1208,Mario,532,1543.02,1533.13
1209,Meta Knight,533,1608.43,1593.03
1210,Toon Link,533,1532.62,1548.02
1211,Dk,534,1516.05,1521.73
1212,Jigglypuff,534,1363.39,1357.71
1213,Samus,535,1526.14,1538.43
1214,Mr Game & Watch,535,1532.42,1520.13
1215,Sonic,536,1450.48,1464.14
1216,Ness,536,1486.75,1473.09
1217,Pikachu,537,1517.17,1531.09
1218,Bowser,537,1559.22,1545.3
1219,Link,538,1538.65,1543.63
1220,Peach,538,1364.17,1359.19
1221,Yoshi,539,1495.73,1503.46
1222,Lucario,539,1398.66,1390.93
1223,Mario,540,1533.13,1538.63
1224,Pokemon Trainer,540,1375.17,1369.67
1225,Rob,541,1501.6,1509.25
1226,Zelda,541,1402.64,1394.99
1227,Snake,542,1490.8,1483.52
1228,Diddy Kong,542,1599.16,1606.44
1229,Samus,543,1538.43,1550.24
1230,Marth,543,1534.3,1522.49
1231,Toon Link,544,1548.02,1557.99
1232,Yoshi,544,1503.46,1493.49
1233,Meta Knight,545,1593.03,1596.77
1234,Ice Climbers,545,1372.75,1369.01
1235,Ness,546,1473.09,1481.2
1236,Lucas,546,1426.86,1434.97
1237,Wario,546,1547.47,1539.36
1238,Link,546,1543.63,1535.52
1239,Dk,547,1521.73,1534.81
1240,Bowser,547,1545.3,1532.22
1241,Fox,548,1529.02,1516.11
1242,Rob,548,1509.25,1522.16
1243,Ness,549,1481.2,1496.64
1244,Toon Link,549,1557.99,1542.55
1245,Meta Knight,550,1596.77,1591.85
1246,Link,550,1535.52,1548.72
1247,Mario,550,1538.63,1534.58
1248,Samus,550,1550.24,1546.01
1249,Ike,551,1493.38,1508.35
1250,Olimar,551,1559.35,1544.38
1251,Sonic,552,1464.14,1454.68
1252,Mr Game & Watch,552,1520.13,1529.59
1253,Pikachu,553,1531.09,1543.26
1254,Dk,553,1534.81,1522.64
1255,Falco,554,1479.83,1473.09
1256,Fox,554,1516.11,1509.37
1257,Ness,554,1496.64,1503.38
1258,Lucas,554,1434.97,1441.71
1259,Luigi,555,1557.69,1569.14
1260,Diddy Kong,555,1606.44,1599.33
1261,Snake,555,1483.52,1479.18
1262,Lucario,556,1390.93,1401.95
1263,Pokemon Trainer,556,1369.67,1358.65
1264,Peach,557,1359.19,1353.85
1265,Rob,557,1522.16,1527.5
1266,Captain Falcon,558,1482.54,1496.16
1267,King Dedede,558,1517.86,1504.24
1268,Olimar,559,1544.38,1554.73
1269,Ike,559,1508.35,1498.0
1270,Luigi,560,1569.14,1582.52
1271,Diddy Kong,560,1599.33,1585.95
1272,Ice Climbers,561,1369.01,1358.52
1273,Lucario,561,1401.95,1412.44
1274,Yoshi,562,1493.49,1482.82
1275,Marth,562,1522.49,1533.16
1276,Samus,563,1546.01,1550.59
1277,Jigglypuff,563,1357.71,1353.13
1278,Toon Link,564,1542.55,1555.67
1279,Wolf,564,1566.97,1553.85
1280,Bowser,565,1532.22,1524.55
1281,Kirby,565,1630.67,1638.34
1282,Mario,566,1534.58,1522.8
1283,Wario,566,1539.36,1551.14
1284,Diddy Kong,567,1585.95,1590.87
1285,Ganondorf,567,1409.5,1404.58
1286,Captain Falcon,568,1496.16,1502.36
1287,Pokemon Trainer,568,1358.65,1352.45
1288,Zelda,569,1394.99,1390.39
1289,Luigi,569,1582.52,1587.12
1290,Fox,570,1509.37,1505.29
1291,Link,570,1548.72,1544.04
1292,King Dedede,570,1504.24,1516.97
1293,Captain Falcon,570,1502.36,1498.39
1294,Marth,571,1533.16,1541.11
1295,Lucas,571,1441.71,1433.76
1296,Ice Climbers,572,1358.52,1370.27
1297,Jigglypuff,572,1353.13,1341.38
1298,Ike,573,1498.0,1508.86
1299,Falco,573,1473.09,1462.23
1300,Wolf,574,1553.85,1561.49
1301,Sonic,574,1454.68,1447.04
1302,Dk,575,1522.64,1513.75
1303,Meta Knight,575,1591.85,1600.74
1304,Ike,576,1508.86,1492.61
1305,Lucario,576,1412.44,1428.69
1306,Peach,577,1353.85,1341.79
1307,Pokemon Trainer,577,1352.45,1364.51
1308,Snake,578,1479.18,1468.06
1309,Captain Falcon,578,1498.39,1509.51
1310,Wario,579,1551.14,1540.96
1311,Diddy Kong,579,1590.87,1601.05
1312,Luigi,580,1587.12,1592.56
1313,Mario,580,1522.8,1528.24
1314,King Dedede,580,1516.97,1511.53
1315,Link,580,1544.04,1538.6
1316,Jigglypuff,581,1341.38,1334.0
1317,Sonic,581,1447.04,1454.42
1318,Yoshi,582,1482.82,1492.59
1319,Lucas,582,1433.76,1423.99
1320,Kirby,583,1638.34,1646.06
1321,Marth,583,1541.11,1533.39
1322,Toon Link,584,1555.67,1543.1
1323,Pikachu,584,1543.26,1555.83
1324,Falco,585,1462.23,1467.95
1325,Fox,585,1505.29,1511.01
1326,Link,585,1538.6,1532.88
1327,Ganondorf,585,1404.58,1398.86
1328,Ness,586,1503.38,1497.97
1329,Lucas,586,1423.99,1418.58
1330,Falco,586,1467.95,1473.36
1331,Fox,586,1511.01,1516.42
1332,Olimar,587,1554.73,1563.92
1333,Ike,587,1492.61,1483.42
1334,Toon Link,588,1543.1,1554.48
1335,Mr Game & Watch,588,1529.59,1518.21
1336,Captain Falcon,589,1509.51,1498.34
1337,Rob,589,1527.5,1538.67
1338,Wolf,590,1561.49,1570.62
1339,Ness,590,1497.97,1488.84
1340,Pit,591,1495.38,1486.11
1341,Pikachu,591,1555.83,1565.1
1342,King Dedede,592,1511.53,1503.15
1343,Luigi,592,1592.56,1600.94
1344,Wario,593,1540.96,1556.3
1345,Diddy Kong,593,1601.05,1596.14
1346,Kirby,593,1646.06,1640.53
1347,Meta Knight,593,1600.74,1595.84
1348,Peach,594,1341.79,1337.29
1349,Link,594,1532.88,1537.38
1350,Ganondorf,595,1398.86,1410.47
1351,Zelda,595,1390.39,1378.78
1352,Mario,596,1528.24,1517.53
1353,Wario,596,1556.3,1567.01
1354,Rob,597,1538.67,1545.89
1355,Lucario,597,1428.69,1421.47
1356,Diddy Kong,598,1596.14,1603.64
1357,King Dedede,598,1503.15,1499.2
1358,Ike,598,1483.42,1479.86
1359,Samus,599,1550.59,1556.98
1360,Lucas,599,1418.58,1412.19
1361,Ice Climbers,600,1370.27,1380.61
1362,Jigglypuff,600,1334.0,1323.66
1363,Falco,601,1473.36,1467.8
1364,Marth,601,1533.39,1526.46
1365,Yoshi,601,1492.59,1505.08
1366,Wolf,602,1570.62,1553.6
1367,Sonic,602,1454.42,1471.44
1368,Kirby,603,1640.53,1650.49
1369,Meta Knight,603,1595.84,1585.88
1370,King Dedede,604,1499.2,1510.31
1371,Ike,604,1479.86,1468.75
1372,Fox,605,1516.42,1498.12
1373,Pokemon Trainer,605,1364.51,1382.81
1374,Lucario,606,1421.47,1431.52
1375,Zelda,606,1378.78,1368.73
1376,Diddy Kong,607,1603.64,1606.39
1377,Peach,607,1337.29,1334.54
1378,Captain Falcon,608,1498.34,1485.13
1379,Snake,608,1468.06,1472.46
1380,Ganondorf,608,1410.47,1414.87
1381,Link,608,1537.38,1541.78
1382,Ness,609,1488.84,1494.11
1383,Jigglypuff,609,1323.66,1318.39
1384,Pit,610,1486.11,1475.58
1385,Mr Game & Watch,610,1518.21,1528.74
1386,Sonic,611,1471.44,1484.98
1387,Yoshi,611,1505.08,1491.54
1388,Dk,612,1513.75,1523.66
1389,Falco,612,1467.8,1457.89
1390,Samus,613,1556.98,1546.31
1391,Meta Knight,613,1585.88,1596.55
1392,Pokemon Trainer,614,1382.81,1374.63
1393,Ike,614,1468.75,1476.93
1394,King Dedede,615,1510.31,1494.1
1395,Ganondorf,615,1414.87,1431.08
1396,Zelda,616,1368.73,1379.16
1397,Peach,616,1334.54,1324.11
1398,Fox,617,1498.12,1511.01
1399,Mario,617,1517.53,1504.64
1400,Luigi,618,1600.94,1605.83
1401,Diddy Kong,618,1606.39,1611.28
1402,Olimar,618,1563.92,1559.03
1403,Rob,618,1545.89,1541.0
1404,Pit,619,1475.58,1486.77
1405,Falco,619,1457.89,1446.7
1406,Ness,620,1494.11,1501.19
1407,Ice Climbers,620,1380.61,1373.53
1408,Mr Game & Watch,621,1528.74,1540.64
1409,Marth,621,1526.46,1514.56
1410,Yoshi,622,1491.54,1499.99
